2025-10-22 14:31:19,823 - INFO - Registering strategy: consolidation_breakout
2025-10-22 14:31:19,829 - INFO - TradeEngine initialized with account balance: 10000.00
2025-10-22 14:31:19,829 - INFO - Processing data for EURUSD=X on 2025-10-20
2025-10-22 14:31:20,643 - INFO - Generating payload for candle at 2025-10-20 03:40:00+00:00. ctx_data length: 57. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1669973134994507, 'Low': 1.1669973134994507, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,645 - INFO - Generating payload for candle at 2025-10-20 03:45:00+00:00. ctx_data length: 58. row_data: {'Adj Close': 1.1668611764907837, 'Close': 1.1668611764907837, 'High': 1.1669973134994507, 'Low': 1.1668611764907837, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,646 - INFO - Generating payload for candle at 2025-10-20 03:50:00+00:00. ctx_data length: 59. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1671334505081177, 'Low': 1.1669973134994507, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,648 - INFO - Generating payload for candle at 2025-10-20 03:55:00+00:00. ctx_data length: 60. row_data: {'Adj Close': 1.1671334505081177, 'Close': 1.1671334505081177, 'High': 1.1671334505081177, 'Low': 1.1671334505081177, 'Open': 1.1671334505081177, 'Volume': 0.0}
2025-10-22 14:31:20,651 - INFO - Generating payload for candle at 2025-10-20 04:00:00+00:00. ctx_data length: 61. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1671334505081177, 'Low': 1.1669973134994507, 'Open': 1.1671334505081177, 'Volume': 0.0}
2025-10-22 14:31:20,653 - INFO - Generating payload for candle at 2025-10-20 04:05:00+00:00. ctx_data length: 62. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1669973134994507, 'Low': 1.1669973134994507, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,656 - INFO - Generating payload for candle at 2025-10-20 04:10:00+00:00. ctx_data length: 63. row_data: {'Adj Close': 1.1668611764907837, 'Close': 1.1668611764907837, 'High': 1.1669973134994507, 'Low': 1.1668611764907837, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,658 - INFO - Generating payload for candle at 2025-10-20 04:15:00+00:00. ctx_data length: 64. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1669973134994507, 'Low': 1.1669973134994507, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,659 - INFO - Generating payload for candle at 2025-10-20 04:20:00+00:00. ctx_data length: 65. row_data: {'Adj Close': 1.1669973134994507, 'Close': 1.1669973134994507, 'High': 1.1669973134994507, 'Low': 1.1669973134994507, 'Open': 1.1669973134994507, 'Volume': 0.0}
2025-10-22 14:31:20,661 - INFO - Generating payload for candle at 2025-10-20 04:25:00+00:00. ctx_data length: 66. row_data: {'Adj Close': 1.1671334505081177, 'Close': 1.1671334505081177, 'High': 1.1672697067260742, 'Low': 1.1671334505081177, 'Open': 1.1671334505081177, 'Volume': 0.0}
